"variable","stratum","n_A0","n_A1","n_total","both_exposure_levels_observed","minimum_exposure_cell"
"site_x_bacteria","NE001 | Acinetobacter",0,9,9,FALSE,0
"site_x_bacteria","NE001 | Culture_neg",23,0,23,FALSE,0
"site_x_bacteria","NE001 | Klebsiella",0,3,3,FALSE,0
"site_x_bacteria","NE001 | Other",2,0,2,FALSE,0
"site_x_bacteria","NE001 | Pseudomonas",1,1,2,TRUE,1
"site_x_bacteria","SG001 | Acinetobacter",1,2,3,TRUE,1
"site_x_bacteria","SG001 | Culture_neg",11,1,12,TRUE,1
"site_x_bacteria","SG001 | Klebsiella",8,1,9,TRUE,1
"site_x_bacteria","SG001 | Other",7,0,7,FALSE,0
"site_x_bacteria","SG001 | Pseudomonas",3,1,4,TRUE,1
"site_x_bacteria","SG002 | Acinetobacter",1,0,1,FALSE,0
"site_x_bacteria","SG002 | Culture_neg",1,0,1,FALSE,0
"site_x_bacteria","SG002 | Klebsiella",5,0,5,FALSE,0
"site_x_bacteria","SG002 | Other",7,0,7,FALSE,0
"site_x_bacteria","SG002 | Pseudomonas",1,0,1,FALSE,0
"site_x_bacteria","TH002 | Acinetobacter",12,65,77,TRUE,12
"site_x_bacteria","TH002 | Culture_neg",82,0,82,FALSE,0
"site_x_bacteria","TH002 | Klebsiella",59,35,94,TRUE,35
"site_x_bacteria","TH002 | Other",41,1,42,TRUE,1
"site_x_bacteria","TH002 | Pseudomonas",35,12,47,TRUE,12
"site_x_bacteria","TH015 | Acinetobacter",3,2,5,TRUE,2
"site_x_bacteria","TH015 | Culture_neg",5,0,5,FALSE,0
"site_x_bacteria","TH015 | Klebsiella",1,0,1,FALSE,0
"site_x_bacteria","TH015 | Pseudomonas",2,1,3,TRUE,1
"site_x_bacteria","TH023 | Acinetobacter",0,5,5,FALSE,0
"site_x_bacteria","TH023 | Culture_neg",7,0,7,FALSE,0
"site_x_bacteria","TH023 | Klebsiella",0,2,2,FALSE,0
"site_x_bacteria","TH023 | Other",1,0,1,FALSE,0
